Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Shipping_Cost,Profit,Profit_Margin,Year,Month,Month_Name
ORD0013,2025-02-13,C016,Customer 24,P12,Webcam,Technology,South,1,5894,0.1,5304.6,4007.92,104,1192.68,22.483881913810656,2025,2,Feb
ORD0014,2025-10-13,C009,Customer 23,P03,Keyboard,Technology,East,4,3785,0.2,12112.0,10295.2,385,1431.8,11.821334214002642,2025,10,Oct
ORD0015,2025-04-11,C021,Customer 10,P06,Desk,Furniture,South,5,11527,0.05,54753.25,50718.8,247,3787.45,6.91730627862273,2025,4,Apr
ORD0016,2025-08-03,C003,Customer 13,P14,Router,Technology,East,3,14444,0.2,34665.6,29465.76,240,4959.84,14.307671005261701,2025,8,Aug
ORD0017,2025-12-16,C007,Customer 11,P09,Pen Set,Office,South,3,743,0.1,2006.1,1515.72,160,330.38,16.468770250735258,2025,12,Dec
ORD0018,2025-07-02,C016,Customer 06,P06,Desk,Furniture,South,2,1762,0.2,2819.2,3101.12,155,-436.92,-15.49801362088536,2025,7,Jul
ORD0019,2025-08-14,C022,Customer 22,P08,Notebook,Office,East,5,533,0.15,2265.25,1812.2,312,141.05,6.226685796269728,2025,8,Aug
ORD0020,2025-07-03,C026,Customer 13,P12,Webcam,Technology,North,5,2148,0.15,9129.0,7303.2,297,1528.8,16.74663161353927,2025,7,Jul
ORD0021,2025-10-25,C007,Customer 16,P14,Router,Technology,West,5,14323,0.3,50130.5,48698.2,236,1196.3,2.3863715702017734,2025,10,Oct
ORD0022,2025-02-05,C014,Customer 01,P12,Webcam,Technology,South,3,875,0.2,2100.0,1785.0,450,-135.0,-6.428571428571428,2025,2,Feb
ORD0023,2025-02-15,C010,Customer 11,P08,Notebook,Office,North,2,4441,0.0,8882.0,6039.76,166,2676.24,30.131051564962846,2025,2,Feb
ORD0024,2025-09-27,C022,Customer 12,P03,Keyboard,Technology,South,1,10723,0.1,9650.7,7291.64,315,2044.06,21.1804325074865,2025,9,Sep
ORD0025,2025-09-13,C019,Customer 01,P15,Office Lamp,Furniture,South,1,13148,0.05,12490.6,11570.24,211,709.36,5.679150721342449,2025,9,Sep
ORD0026,2025-06-06,C009,Customer 24,P11,Tablet,Technology,South,3,10538,0.2,25291.2,21497.52,77,3716.68,14.695546276965901,2025,6,Jun
ORD0027,2025-10-26,C029,Customer 08,P05,Printer,Office,South,2,6872,0.15,11682.4,9345.92,360,1976.48,16.918441416147367,2025,10,Oct
ORD0028,2025-02-14,C010,Customer 15,P01,Laptop,Technology,North,3,13843,0.2,33223.2,28239.72,226,4757.48,14.319752462134893,2025,2,Feb
ORD0029,2025-05-25,C010,Customer 12,P03,Keyboard,Technology,East,1,7083,0.15,6020.55,4816.44,55,1149.11,19.086462200297312,2025,5,May
ORD0030,2025-12-30,C030,Customer 18,P01,Laptop,Technology,South,1,10064,0.3,7044.8,6843.52,462,-260.72,-3.7008857597092897,2025,12,Dec
ORD0031,2025-05-16,C029,Customer 16,P15,Office Lamp,Furniture,East,3,2784,0.0,8352.0,7349.76,273,729.24,8.73132183908046,2025,5,May
ORD0032,2025-04-16,C014,Customer 25,P03,Keyboard,Technology,West,1,7290,0.3,5103.0,4957.2,261,-115.2,-2.2574955908289245,2025,4,Apr
ORD0033,2025-11-28,C028,Customer 05,P08,Notebook,Office,East,2,7958,0.0,15916.0,10822.88,83,5010.12,31.47851218899221,2025,11,Nov
ORD0034,2025-03-20,C013,Customer 12,P14,Router,Technology,North,4,7453,0.3,20868.4,20272.16,400,196.24,0.9403691706120259,2025,3,Mar
ORD0035,2025-12-20,C009,Customer 21,P01,Laptop,Technology,East,2,1958,0.1,3524.4,2662.88,430,431.52,12.243786176370445,2025,12,Dec
ORD0036,2025-09-18,C013,Customer 24,P02,Monitor,Technology,North,1,14817,0.1,13335.3,10075.56,318,2941.74,22.05979618006344,2025,9,Sep
ORD0037,2025-05-02,C023,Customer 19,P12,Webcam,Technology,South,2,14910,0.0,29820.0,20277.6,199,9343.4,31.332662642521797,2025,5,May
ORD0038,2025-04-13,C014,Customer 03,P08,Notebook,Office,North,1,1238,0.2,990.4,841.84,288,-139.44,-14.079159935379645,2025,4,Apr
ORD0039,2025-01-17,C015,Customer 29,P07,Chair,Furniture,South,1,8583,0.15,7295.55,7553.04,489,-746.49,-10.232127803935276,2025,1,Jan
ORD0040,2025-12-09,C018,Customer 15,P09,Pen Set,Office,South,2,7896,0.1,14212.8,10738.56,87,3387.24,23.832320162107397,2025,12,Dec
ORD0041,2025-08-01,C002,Customer 22,P04,Mouse,Technology,East,5,10383,0.3,36340.5,35302.2,248,790.3,2.1747086583838966,2025,8,Aug
ORD0042,2025-06-21,C030,Customer 08,P12,Webcam,Technology,South,4,7504,0.0,30016.0,20410.88,287,9318.12,31.04384328358209,2025,6,Jun
ORD0043,2025-08-16,C018,Customer 02,P08,Notebook,Office,North,4,8467,0.3,23707.6,23030.24,484,193.36,0.8156034351853416,2025,8,Aug
ORD0044,2025-03-23,C027,Customer 08,P05,Printer,Office,North,3,10302,0.15,26270.1,21016.08,493,4761.02,18.123341745939303,2025,3,Mar
ORD0045,2025-05-05,C001,Customer 27,P09,Pen Set,Office,South,1,6109,0.1,5498.1,4154.12,245,1098.98,19.988359615139775,2025,5,May
ORD0046,2025-12-14,C020,Customer 12,P12,Webcam,Technology,East,2,10321,0.3,14449.4,14036.56,488,-75.16,-0.5201600066438745,2025,12,Dec
ORD0047,2025-03-04,C021,Customer 26,P05,Printer,Office,West,3,11675,0.0,35025.0,23817.0,300,10908.0,31.143468950749465,2025,3,Mar
ORD0048,2025-11-19,C023,Customer 29,P01,Laptop,Technology,West,3,11724,0.1,31654.8,23916.96,287,7450.84,23.53778889773431,2025,11,Nov
ORD0049,2025-04-13,C010,Customer 10,P10,Headphones,Technology,South,5,10209,0.2,40836.0,34710.6,479,5646.4,13.82701537858752,2025,4,Apr
ORD0050,2025-12-09,C006,Customer 28,P05,Printer,Office,West,1,3128,0.1,2815.2,2127.04,214,474.16,16.842853083262295,2025,12,Dec
ORD0051,2025-06-28,C013,Customer 06,P04,Mouse,Technology,South,3,9602,0.2,23044.8,19588.08,197,3259.72,14.145143372908423,2025,6,Jun
ORD0052,2025-03-22,C010,Customer 20,P15,Office Lamp,Furniture,East,1,10054,0.3,7037.8,8847.52,340,-2149.72,-30.54534087356844,2025,3,Mar
ORD0053,2025-04-15,C008,Customer 11,P03,Keyboard,Technology,East,3,3184,0.15,8119.2,6495.36,54,1569.84,19.33490984333432,2025,4,Apr
ORD0054,2025-03-14,C030,Customer 05,P01,Laptop,Technology,North,3,7251,0.0,21753.0,14792.04,380,6580.96,30.253114512940744,2025,3,Mar
ORD0055,2025-02-01,C017,Customer 18,P05,Printer,Office,North,2,14595,0.2,23352.0,19849.2,174,3328.8,14.254881808838643,2025,2,Feb
ORD0056,2025-03-21,C021,Customer 18,P11,Tablet,Technology,East,3,6252,0.1,16880.4,12754.08,134,3992.32,23.650624392786902,2025,3,Mar
ORD0057,2025-04-29,C029,Customer 10,P01,Laptop,Technology,West,1,2574,0.15,2187.9,1750.32,169,268.58,12.275698158051098,2025,4,Apr
ORD0058,2025-01-12,C022,Customer 23,P06,Desk,Furniture,North,1,9960,0.2,7968.0,8764.8,293,-1089.8,-13.677208835341364,2025,1,Jan
ORD0059,2025-06-20,C027,Customer 09,P05,Printer,Office,East,3,8585,0.05,24467.25,17513.4,360,6593.85,26.949698065781813,2025,6,Jun
ORD0060,2025-09-18,C015,Customer 04,P11,Tablet,Technology,North,2,8636,0.0,17272.0,11744.96,295,5232.04,30.29203334877258,2025,9,Sep
ORD0061,2025-11-01,C009,Customer 27,P08,Notebook,Office,South,5,14296,0.2,57184.0,48606.4,81,8496.6,14.858351986569671,2025,11,Nov
ORD0062,2025-05-14,C013,Customer 02,P12,Webcam,Technology,South,1,3400,0.15,2890.0,2312.0,396,182.0,6.29757785467128,2025,5,May
ORD0063,2025-01-22,C007,Customer 12,P10,Headphones,Technology,North,5,11549,0.05,54857.75,39266.6,428,15163.15,27.640852933268317,2025,1,Jan
ORD0064,2025-02-02,C023,Customer 03,P06,Desk,Furniture,East,2,11120,0.3,15568.0,19571.2,200,-4203.2,-26.99897225077081,2025,2,Feb
ORD0065,2025-01-01,C019,Customer 10,P14,Router,Technology,East,4,11469,0.0,45876.0,31195.68,457,14223.32,31.003836428633708,2025,1,Jan
ORD0066,2025-03-19,C029,Customer 10,P02,Monitor,Technology,East,3,4410,0.1,11907.0,8996.4,337,2573.6,21.614176534811456,2025,3,Mar
ORD0067,2025-07-27,C014,Customer 02,P08,Notebook,Office,North,3,9027,0.2,21664.8,18415.08,398,2851.72,13.162918651453047,2025,7,Jul
ORD0068,2025-02-12,C016,Customer 23,P02,Monitor,Technology,West,1,1939,0.1,1745.1,1318.52,342,84.58,4.846713655377916,2025,2,Feb
ORD0069,2025-01-28,C004,Customer 15,P02,Monitor,Technology,East,5,7668,0.15,32589.0,26071.2,431,6086.8,18.67746785725245,2025,1,Jan
ORD0070,2025-10-09,C015,Customer 11,P05,Printer,Office,North,2,3489,0.3,4884.6,4745.04,489,-349.44,-7.153912295786757,2025,10,Oct
ORD0071,2025-12-09,C028,Customer 03,P10,Headphones,Technology,East,2,548,0.15,931.6,745.28,138,48.32,5.186775440103048,2025,12,Dec
ORD0072,2025-01-05,C026,Customer 30,P03,Keyboard,Technology,West,4,11025,0.05,41895.0,29988.0,102,11805.0,28.177586824203367,2025,1,Jan
ORD0073,2025-08-20,C001,Customer 11,P06,Desk,Furniture,North,3,6959,0.3,14613.9,18371.76,298,-4055.86,-27.753440217874765,2025,8,Aug
ORD0074,2025-05-22,C001,Customer 21,P09,Pen Set,Office,West,5,8225,0.2,32900.0,27965.0,94,4841.0,14.714285714285714,2025,5,May
ORD0075,2025-12-19,C008,Customer 07,P11,Tablet,Technology,North,1,631,0.15,536.35,429.08,243,-135.73,-25.30623659923557,2025,12,Dec
ORD0076,2025-10-10,C015,Customer 24,P04,Mouse,Technology,South,5,11783,0.0,58915.0,40062.2,336,18516.8,31.42968683696851,2025,10,Oct
ORD0077,2025-05-30,C013,Customer 21,P07,Chair,Furniture,East,4,3463,0.05,13159.4,12189.76,497,472.64,3.591653114883657,2025,5,May
ORD0078,2025-07-30,C014,Customer 18,P02,Monitor,Technology,West,2,11601,0.2,18561.6,15777.36,227,2557.24,13.777045082320488,2025,7,Jul
ORD0079,2025-03-19,C016,Customer 06,P15,Office Lamp,Furniture,East,2,3598,0.0,7196.0,6332.48,424,439.52,6.107837687604224,2025,3,Mar
ORD0080,2025-02-02,C021,Customer 20,P09,Pen Set,Office,West,4,4350,0.05,16530.0,11832.0,479,4219.0,25.523290986085907,2025,2,Feb
ORD0081,2025-01-03,C016,Customer 22,P05,Printer,Office,East,5,7824,0.0,39120.0,26601.6,279,12239.4,31.286809815950917,2025,1,Jan
ORD0082,2025-11-28,C024,Customer 08,P10,Headphones,Technology,North,4,5472,0.1,19699.2,14883.84,186,4629.36,23.500243664717345,2025,11,Nov
ORD0083,2025-03-12,C008,Customer 14,P04,Mouse,Technology,North,4,1139,0.0,4556.0,3098.08,322,1135.92,24.93239683933275,2025,3,Mar
ORD0084,2025-08-18,C014,Customer 25,P13,USB Drive,Technology,North,3,1683,0.2,4039.2,3433.32,79,526.88,13.04416716181422,2025,8,Aug
ORD0085,2025-07-27,C005,Customer 22,P06,Desk,Furniture,East,4,1431,0.1,5151.6,5037.12,271,-156.52,-3.0382793695162666,2025,7,Jul
ORD0086,2025-03-27,C026,Customer 14,P12,Webcam,Technology,West,5,5796,0.1,26082.0,19706.4,461,5914.6,22.676941952304272,2025,3,Mar
ORD0087,2025-10-23,C024,Customer 08,P06,Desk,Furniture,East,1,14297,0.05,13582.15,12581.36,380,620.79,4.5706313065309985,2025,10,Oct
ORD0088,2025-07-19,C029,Customer 06,P04,Mouse,Technology,West,5,3424,0.0,17120.0,11641.6,52,5426.4,31.696261682242987,2025,7,Jul
ORD0089,2025-12-19,C019,Customer 26,P12,Webcam,Technology,South,3,13800,0.05,39330.0,28152.0,341,10837.0,27.55403000254259,2025,12,Dec
ORD0090,2025-09-13,C004,Customer 16,P05,Printer,Office,North,3,6239,0.3,13101.9,12727.56,488,-113.66,-0.8675077660491989,2025,9,Sep
ORD0091,2025-09-16,C015,Customer 12,P05,Printer,Office,South,4,4916,0.05,18680.8,13371.52,70,5239.28,28.04633634533853,2025,9,Sep
ORD0092,2025-05-01,C018,Customer 02,P09,Pen Set,Office,West,4,364,0.1,1310.4,990.08,411,-90.68,-6.92002442002442,2025,5,May
ORD0093,2025-12-01,C003,Customer 10,P12,Webcam,Technology,West,5,11341,0.05,53869.75,38559.4,271,15039.35,27.91798736767852,2025,12,Dec
ORD0094,2025-03-23,C006,Customer 16,P07,Chair,Furniture,West,2,13733,0.05,26092.7,24170.08,241,1681.62,6.444791071832351,2025,3,Mar
ORD0095,2025-09-19,C018,Customer 08,P07,Chair,Furniture,North,3,7610,0.0,22830.0,20090.4,259,2480.6,10.865527814279456,2025,9,Sep
ORD0096,2025-08-14,C008,Customer 20,P05,Printer,Office,North,5,12462,0.2,49848.0,42370.8,288,7189.2,14.422243620606645,2025,8,Aug
ORD0097,2025-04-26,C012,Customer 27,P09,Pen Set,Office,West,2,5302,0.0,10604.0,7210.72,475,2918.28,27.52055827989438,2025,4,Apr
ORD0098,2025-01-13,C014,Customer 22,P03,Keyboard,Technology,North,5,7166,0.05,34038.5,24364.4,50,9624.1,28.274160142191928,2025,1,Jan
ORD0099,2025-12-29,C027,Customer 29,P15,Office Lamp,Furniture,West,4,4328,0.1,15580.8,15234.56,321,25.24,0.1619942493325118,2025,12,Dec
ORD0100,2025-03-30,C001,Customer 08,P11,Tablet,Technology,North,5,3863,0.05,18349.25,13134.2,370,4845.05,26.40462144229328,2025,3,Mar
ORD0101,2025-08-30,C017,Customer 03,P15,Office Lamp,Furniture,East,3,7507,0.15,19142.85,19818.48,485,-1160.63,-6.062994799624926,2025,8,Aug
ORD0102,2025-01-31,C010,Customer 24,P02,Monitor,Technology,North,1,5037,0.1,4533.3,3425.16,292,816.14,18.003220611916262,2025,1,Jan
ORD0103,2025-06-30,C008,Customer 14,P05,Printer,Office,South,5,2250,0.0,11250.0,7650.0,119,3481.0,30.94222222222222,2025,6,Jun
ORD0104,2025-03-19,C012,Customer 08,P11,Tablet,Technology,West,1,1115,0.1,1003.5,758.2,177,68.3,6.806178375685102,2025,3,Mar
ORD0105,2025-05-02,C020,Customer 29,P02,Monitor,Technology,East,1,9414,0.2,7531.2,6401.52,466,663.68,8.812407053324835,2025,5,May
ORD0106,2025-02-18,C009,Customer 03,P01,Laptop,Technology,West,2,3800,0.1,6840.0,5168.0,252,1420.0,20.760233918128655,2025,2,Feb
ORD0107,2025-03-26,C023,Customer 09,P08,Notebook,Office,South,2,10043,0.3,14060.2,13658.48,299,102.72,0.7305728225772037,2025,3,Mar
ORD0108,2025-11-11,C009,Customer 07,P08,Notebook,Office,South,3,2165,0.15,5520.75,4416.6,407,697.15,12.627813250011322,2025,11,Nov
ORD0109,2025-09-14,C028,Customer 28,P15,Office Lamp,Furniture,West,1,13387,0.0,13387.0,11780.56,57,1549.44,11.574213789497275,2025,9,Sep
ORD0110,2025-08-21,C023,Customer 03,P11,Tablet,Technology,East,1,12992,0.0,12992.0,8834.56,365,3792.44,29.190578817733993,2025,8,Aug
ORD0111,2025-09-04,C029,Customer 05,P03,Keyboard,Technology,South,1,14301,0.3,10010.7,9724.68,415,-128.98,-1.2884213891136482,2025,9,Sep
ORD0112,2025-01-15,C017,Customer 18,P15,Office Lamp,Furniture,West,5,4029,0.1,18130.5,17727.6,137,265.9,1.4665894487190092,2025,1,Jan
ORD0113,2025-12-16,C010,Customer 26,P14,Router,Technology,South,3,10575,0.0,31725.0,21573.0,498,9654.0,30.430260047281322,2025,12,Dec
ORD0114,2025-01-17,C016,Customer 15,P09,Pen Set,Office,East,1,437,0.05,415.15,297.16,454,-336.01,-80.93701071901722,2025,1,Jan
ORD0115,2025-03-11,C014,Customer 03,P11,Tablet,Technology,North,2,5455,0.1,9819.0,7418.8,69,2331.2,23.741725226601485,2025,3,Mar
ORD0116,2025-09-13,C012,Customer 02,P09,Pen Set,Office,East,4,2050,0.0,8200.0,5576.0,71,2553.0,31.134146341463413,2025,9,Sep
ORD0117,2025-06-27,C007,Customer 11,P03,Keyboard,Technology,East,4,4534,0.1,16322.4,12332.48,172,3817.92,23.390677841493897,2025,6,Jun
ORD0118,2025-04-17,C014,Customer 25,P10,Headphones,Technology,North,3,7073,0.3,14853.3,14428.92,464,-39.62,-0.2667420707856167,2025,4,Apr
ORD0119,2025-03-30,C015,Customer 26,P09,Pen Set,Office,West,1,13829,0.05,13137.55,9403.72,412,3321.83,25.285003672678698,2025,3,Mar
ORD0120,2025-10-28,C018,Customer 30,P11,Tablet,Technology,West,2,3446,0.1,6202.8,4686.56,354,1162.24,18.737344425098343,2025,10,Oct
